조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
누룽지탕/쌀밥,연두부찌개,마늘쫑맛살볶음,곤드레밥,배추된장국,데리야끼파닭,쌀밥/잡곡밥,쇠고기샤브국,가자미찜
호박죽/쌀밥,모시조개시금치국,가지나물,쌀밥/잡곡밥,동태찌개,돈육장조림,쌀밥/잡곡밥,바지락수제비,유산슬
야채죽/쌀밥,콩나물국,쥐포무침,쌀밥/잡곡밥,버섯들깨탕,고등어조림,쌀밥/잡곡밥,오징어국,떡갈비조림
누룽지탕/쌀밥,들깨미역국,호박볶음,쌀밥/잡곡밥,근대된장국,쇠고기숙주볶음,쌀밥/잡곡밥,부대찌개,삼치구이
쇠고기죽/쌀밥,아욱된장국,콩조림,쌀밥/잡곡밥,알탕,닭갈비,짜장덮밥,해물짬뽕,군만두
누룽지탕/쌀밥,대구찌개,김자반,콩나물밥,가쯔오장국,훈제오리/무쌈,쌀밥/잡곡밥,청국장찌개,동파삼겹수육
양송이죽/쌀밥,시래기국,두부조림,쌀밥/잡곡밥,쇠고기무국,쭈꾸미볶음,참치회덮밥,미소장국,새우또띠아/음료
닭죽/쌀밥,김치두부국,브로컬리들깨무침,쌀밥/잡곡밥,사골우거지탕,명태엿장조림,쌀밥/잡곡밥,순두부찌개,돈육굴소스볶음
누룽지탕/쌀밥,북어해장국,김잔파무침,쌀밥/잡곡밥,오징어국,유자청제육볶음,쌀밥/잡곡밥,목살김치찌개,가자미튀김
크림누룽지탕/쌀밥,고추장찌개,청포묵무침,쌀밥/잡곡밥,차돌박이찌개,순살양념치킨,낙지볶음덮밥,맑은국,언양식불고기
누룽지탕/쌀밥,맑은만두육개장,시금치나물,단호박영양밥,꽃게탕,고추잡채*꽃빵,쌀밥/잡곡밥,뼈해장국,고등어양념구이
야채죽/쌀밥,어묵탕,마늘쫑무침,쌀밥/잡곡밥,김치콩나물국,쇠고기장조림,김밥,계란국,해물볶음우동
흑임자죽/쌀밥,건새우무국,가지두반장볶음,쌀밥/잡곡밥,아욱된장국,칠리탕수육,쌀밥/잡곡밥,닭곰탕,미트볼떡조림
누룽지탕/쌀밥,감자국,진미채무침,쌀밥/잡곡밥,어묵국,소고기버섯볶음,쌀밥/잡곡밥,콩나물국,매운돼지갈비찜
밤죽/쌀밥,피바지락국,시래기조림,쌀밥/잡곡밥,김치국,닭데리야끼조림,굴소스해물볶음밥,미소장국,미니햄버거
누룽지탕/쌀밥,얼큰소고기국,우엉조림,버섯영양밥,조랭이떡미역국,유산슬,쌀밥/잡곡밥,동태찌개,수제돈까스
홍게살죽/쌀밥,호박젓국찌개,미역줄기볶음,쌀밥/잡곡밥,설렁탕,해물김치전,생선초밥,우동,떡볶이
팥죽/쌀밥,근대된장국,콩나물무침,쌀밥/잡곡밥,콩비지찌개,순살깐풍기,쌀밥/잡곡밥,육개장,탕수어
누룽지탕/쌀밥,콩나물국,쑥갓두부무침,쌀밥/잡곡밥,시래기된장국,누룽지탕수육,쌀밥/잡곡밥,황태국,등갈비김치찜
해물죽/쌀밥,무채국,명엽채무침,쌀밥/잡곡밥,대구매운탕,쇠고기숙주볶음,후난식볶음밥,팽이장국,새우까스*탈탈소스
누룽지탕/쌀밥,재첩국,꽈리고추찜,쌀밥/잡곡밥,순두부탕,파닭,쌀밥/잡곡밥,소고기미역국,쭈꾸미볶음
단호박죽/쌀밥,아욱국,숙주미나리나물,쌀밥/잡곡밥,수제비국,짬뽕불고기,멸치주먹밥,잔치국수,또띠아피자
녹두죽/쌀밥,꽃게탕,느타리버섯볶음,카레덮밥,맑은국,통감자오븐구이,쌀밥/잡곡밥,된장찌개,장어강정
누룽지탕/쌀밥,호박젓국찌개,치커리무침,쌀밥/잡곡밥,쇠고기느타리국,오징어볶음,쌀밥/잡곡밥,시금치된장국,닭강정
새우살죽/쌀밥,어묵국,방풍나물,쌀밥/잡곡밥,근대국,제육볶음,참치주먹밥,짬뽕,야채튀김
누룽지탕/쌀밥,고추장찌개,김자반,나물비빔밥,가쯔오장국,치킨핑거*요거트D,*,,
땅콩죽/쌀밥,배추된장국,쥐포무침,쌀밥/잡곡밥,콩나물국,모둠장조림,김치볶음밥,미소장국,수제고로케*케찹
팥죽/쌀밥,황태국,새송이볶음,쌀밥/잡곡밥,떡국,양념찜닭,쌀밥/잡곡밥,오징어국,미니함박조림
누룽지탕/쌀밥,무채국,오이무침,쌀밥/잡곡밥,순두부찌개,훈제오리구이,쌀밥/잡곡밥,매운감자국,소고기숙주볶음
흑임자죽/쌀밥,북어계란국,애호박나물,쌀밥/잡곡밥,홍합탕,삼겹살오븐구이,유부초밥,쌀국수,단호박조림
누룽지탕/쌀밥,냉이국,두부조림,짜장밥,유부장국,해물누룽지탕,쌀밥/잡곡밥,부대찌개,유린기
닭죽/쌀밥,호박젓국찌개,시래기조림,쌀밥/잡곡밥,아욱국,양념돼지갈비찜,김밥,계란국,해물볶음우동
해물죽/쌀밥,얼갈이국,진미채무침,쌀밥/잡곡밥,차돌박이된장찌개,삼치무조림,쌀밥/잡곡밥,쇠고기무국,주꾸미볶음
누룽지탕/쌀밥,토란국,꽃맛살볶음,쌀밥/잡곡밥,콩나물김치국,돈육굴소스볶음,쌀밥/잡곡밥,대구지리,유산슬
크림누룽지탕/쌀밥,선지해장국,검정콩조림,쌀밥/잡곡밥,냉이된장찌개,코다리강정,주먹밥,양송이스프,토마토스파게티
누룽지탕/쌀밥,연두부탕,미역줄기볶음,소불고기덮밥,가쯔오장국,고구마튀김,쌀밥/잡곡밥,매생이굴국,간장찜닭
참치야채죽/쌀밥,어묵국,콩나물무침,쌀밥/잡곡밥,콩비지찌개,오리고추장볶음,오므라이스,팽이장국,해물떡볶이
잣죽/쌀밥,재첩국,김구이,쌀밥/잡곡밥,쇠고기샤브국,갈치구이,쌀밥/잡곡밥,미역국,등갈비김치찜
누룽지탕/쌀밥,김치두부국,멸치볶음,쌀밥/잡곡밥,배추된장국,짬뽕불고기,쌀밥/잡곡밥,육개장,탕수어
해물죽/쌀밥,열무된장국,미니새송이볶음,쌀밥/잡곡밥,콩나물국,고추잡채*꽃빵,충무김밥,잔치국수,오징어무침
누룽지탕/쌀밥,쇠고기매운국,김자반,쌀밥/잡곡밥,된장찌개,마늘간장치킨,쌀밥/잡곡밥,알탕,돈육장조림
양송이죽/쌀밥,근대국,명엽채무침,쌀밥/잡곡밥,꽃게탕,쇠고기버섯볶음,작은밥,바지락수제비,사천식탕수육
호박죽/쌀밥,고추장찌개,시금치나물,쌀밥/잡곡밥,얼갈이국,떡갈비조림,쌀밥/잡곡밥,돈육김치찌개,궁중떡볶음
누룽지탕/쌀밥,아욱국,쥐포무침,쌀밥/잡곡밥,동태찌개,돈육간장불고기,쌀밥/잡곡밥,청국장찌개,가자미양념찜
홍게살죽/쌀밥,민물새우찌개,브로컬리들깨찜,쌀밥/잡곡밥,열무된장국,닭갈비,해물굴소스볶음밥,맑은국,돈육강정
누룽지탕/쌀밥,북어계란국,느타리호박볶음,콩나물밥,가쯔오장국,미트볼케찹조림,*,,
새송이죽/쌀밥,감자국,유채나물,쌀밥/잡곡밥,시래기국,오징어볶음*소면,참치주먹밥,김치우동,쇠고기퀘사디아
쇠고기죽/쌀밥,매운어묵국,취나물,쌀밥/잡곡밥,순두부찌개,수제돈까스,쌀밥/잡곡밥,봄동된장국,닭볶음탕
누룽지탕/쌀밥,냉이된장국,콩자반,쌀밥/잡곡밥,사골떡국,쇠고기낙지볶음,쌀밥/잡곡밥,매운오징어국,목살간장조림
새우살죽/쌀밥,차돌박이찌개,톳무침,쌀밥/잡곡밥,홍합탕,매운동태찜,참치회덮밥,유부주머니국,수제고로케
누룽지탕/쌀밥,토란탕,진미채무침,곤드레밥,황태국,동그랑땡전,쌀밥/잡곡밥,감자찌개,닭데리야끼구이
밤죽/쌀밥,연두부탕,오이무침,쌀밥/잡곡밥,육개장,굴비구이,마파두부덮밥,팽이장국,류산슬
쇠고기죽/쌀밥,김치국,겨울초나물,쌀밥/잡곡밥,된장찌개,레몬탕수육,쌀밥/잡곡밥,들깨무채국,등갈비묵은지찜
누룽지탕/쌀밥,느타리버섯국,두부조림,쌀밥/잡곡밥,콩나물국,동파육,쌀밥/잡곡밥,콩비지찌개,양파치킨
해물죽/쌀밥,근대국,숙주나물,쌀밥/잡곡밥,쇠고기미역국,주꾸미떡볶음,김치참치주먹밥,가쯔오국,로제스파게티
누룽지탕/쌀밥,맑은만두육개장,미역줄기볶음,비빔밥,팽이장국,생선까스,쌀밥/잡곡밥,해물된장찌개,제육볶음
흑임자죽/쌀밥,재첩국,마늘쫑무침,쌀밥/잡곡밥,어묵국,매운닭찜,쌀밥/잡곡밥,뼈감자탕,삼치된장구이
크림누룽지탕/쌀밥,북어국,무채나물,쌀밥/잡곡밥,짬뽕국,미니함박조림,쌀밥/잡곡밥,시래기국,소고기장조림
누룽지탕/쌀밥,고추장찌개,취나물,쌀밥/잡곡밥,얼갈이된장국,오징어볶음*소면,쌀밥/잡곡밥,감자국,매운돼지갈비찜
팥죽/쌀밥,열무된장국,어묵볶음,쌀밥/잡곡밥,순두부찌개,쇠고기숙주볶음,후난식볶음밥,맑은국,닭강정
누룽지탕/쌀밥,꽃게탕,명엽채무침,쌀밥/잡곡밥,아욱국,훈제오리구이,쌀밥/잡곡밥,쇠고기샤브국,갈치양념조림
땅콩죽/쌀밥,민물새우찌개,브로컬리무침,쌀밥/잡곡밥,수제비국,유자청돈육볶음,김밥,새우튀김우동,펜네베이컨샐러드
소라살죽/쌀밥,콩나물김치국,새송이볶음,쌀밥/잡곡밥,닭개장,가자미카레튀김,쌀밥/잡곡밥,부대찌개,해물청경채볶음
누룽지탕/쌀밥,북어계란국,가지나물,쌀밥/잡곡밥,냉이콩나물국,닭볶음,쌀밥/잡곡밥,쇠고기매운국,버섯탕수
단호박죽/쌀밥,근대국,느타리볶음,쌀밥/잡곡밥,알탕,돈육간장불고기,멸치주먹밥,잔치국수,쇠고기퀘사디아
누룽지탕/쌀밥,두부젓국찌개,김자반,카레덮밥,맑은국,유린기,*,,
야채죽/쌀밥,오징어국,크래미숙주무침,쌀밥/잡곡밥,배추된장국,소갈비찜,쌀밥/잡곡밥,시래기들깨탕,돈육강정
땅콩죽/쌀밥,꽃게탕,김구이,쌀밥/잡곡밥,미역국,언양식불고기*양파채,김치볶음밥,꼬지어묵우동,해물까스*탈탈소스
누룽지탕/쌀밥,황태국,검정콩조림,쌀밥/잡곡밥,시금치된장국,고추장불고기,쌀밥/잡곡밥,차돌박이찌개,장어강정
시금치죽/쌀밥,선지해장국,연근조림,쌀밥/잡곡밥,굴김치두부국,스위트칠리미트볼,쇠고기덮밥,장국,야채튀김
새송이죽/쌀밥,홍합탕,겨울초겉절이,쌀밥/잡곡밥,콩나물국,소고기낙지볶음,쌀밥/잡곡밥,소고기무국,고등어김치말이
누룽지탕/쌀밥,콩나물김치국,느타리호박볶음,쌀밥/잡곡밥,냉이된장찌개,닭갈비,쌀밥/잡곡밥,사골우거지국,탕수어
양송이죽/쌀밥,재첩국,가지나물,쌀밥/잡곡밥,대구매운탕,유산슬,쌀밥/잡곡밥,순두부찌개,돈육굴소스볶음
호박죽/쌀밥,아욱된장국,어묵볶음,콩나물밥,맑은국,닭오븐구이,쌀밥/잡곡밥,열무된장국,삼겹살구이
누룽지탕/쌀밥,감자국,오이무침,쌀밥/잡곡밥,배추국,수제돈까스,유부초밥,쌀국수,순대오징어볶음
닭죽/쌀밥,맑은연두부탕,참나물생채,오곡밥,소고기무국,굴비구이,쌀밥/잡곡밥,청국장찌개,미니함박조림
누룽지탕/쌀밥,봄동된장국,진미채무침,쌀밥/잡곡밥,쇠고기미역국,제육볶음,쌀밥/잡곡밥,부대찌개,고등어구이
표고버섯죽/쌀밥,민물새우찌개,브로컬리들깨찜,쌀밥/잡곡밥,된장찌개,주꾸미볶음,짜장덮밥,맑은국,사천식탕수육
누룽지탕/쌀밥,북어국,아삭고추무침,쌀밥/잡곡밥,들깨시래기국,순살파닭,쌀밥/잡곡밥,오징어국,돈육장조림
고구마죽/쌀밥,김치콩나물국,새송이볶음,쌀밥/잡곡밥,홍합탕,소불고기,오므라이스,가쯔오장국,치킨텐더
홍게살죽/쌀밥,근대국,무생채,쌀밥/잡곡밥,어묵국,등갈비김치찜,쌀밥/잡곡밥,콩비지찌개,고추잡채*꽃빵
누룽지탕/쌀밥,달래된장찌개,크랜베리멸치볶음,쌀밥/잡곡밥,열무된장국,동파육,쌀밥/잡곡밥,얼갈이된장국,간장찜닭
해물죽/쌀밥,고추장찌개,김가루실파무침,쌀밥/잡곡밥,버섯들깨탕,낙지볶음,날치알김치볶음밥,미역장국,쇠고기퀘사디아
누룽지탕/쌀밥,꽃게탕,명엽채무침,나물비빔밥,유부장국,생선까스*탈탈소스,*,,
녹두죽/쌀밥,호박젓국찌개,가지나물,쌀밥/잡곡밥,콩나물국,돼지갈비찜,참치주먹밥,김치우동,케이준샐러드
쇠고기죽/쌀밥,아욱된장국,두부조림,쌀밥/잡곡밥,수제비국,깐풍기,쌀밥/잡곡밥,쇠고기샤브국,가자미양념찜
누룽지탕/쌀밥,건새우무채국,김구이,쌀밥/잡곡밥,봄동된장국,훈제오리구이,쌀밥/잡곡밥,황태국,짬뽕불고기
팥죽/쌀밥,시금치된장국,콩자반,쌀밥/잡곡밥,사골떡국,언양식불고기,김밥,꼬치어묵탕,쫄면야채무침
잣죽/쌀밥,매운감자국,시래기조림,쌀밥/잡곡밥,돈육김치찌개,팝콘치킨*데리마요,후난식볶음밥,잔치국수,새우또띠아
표고버섯죽/쌀밥,쇠고기우거지국,참나물,카레덮밥,맑은국,미니채소떡갈비,쌀밥/잡곡밥,해물된장찌개,소고기모듬장조림
누룽지탕/쌀밥,시래기된장국,쑥갓두부무침,쌀밥/잡곡밥,어묵국,순살닭갈비,쌀밥/잡곡밥,김치두부국,쇠불고기
단호박죽/쌀밥,북어해장국,가지나물,쌀밥/잡곡밥,토란탕,돈육칠리강정,참치야채비빔밥,맑은국,수제고로케
땅콩죽/쌀밥,맑은만두육개장,아삭고추무침,곤드레밥*강된장,미소국,오징어볶음,쌀밥/잡곡밥,차돌박이찌개,코다리강정
누룽지탕/쌀밥,재첩국,유채나물,쌀밥/잡곡밥,아욱국,마늘치킨,김밥볶음밥,팽이장국,볶음우동
야채죽/쌀밥,대구찌개,미역줄기볶음,쌀밥/잡곡밥,얼큰순두부찌개,해물청경채볶음,쌀밥/잡곡밥,미역국,제육볶음(빨갛게)
누룽지탕/쌀밥,감자국,어묵볶음,쌀밥/잡곡밥,오징어국,버섯불고기,쌀밥/잡곡밥,육개장,갈치조림
견과류죽/쌀밥,된장찌개,느타리볶음,쌀밥/잡곡밥,동태찌개,미트볼케찹조림,콩나물밥,가쯔오장국,주꾸미볶음
새우살죽/쌀밥,두부젓국찌개,쥐포무침,쌀밥/잡곡밥,근대국,양념찜닭,쌀밥/잡곡밥,북어계란국,등갈비김치찜
누룽지탕/쌀밥,쑥국,브로컬리들깨찜,쌀밥/잡곡밥,옹심이만두국,돈육굴소스볶음,멸치주먹밥,김치말이국수,훈제오리냉채
흑임자죽/쌀밥,김치두부국,김자반,쌀밥/잡곡밥,고추장찌개,치킨커틀렛,쌀밥/잡곡밥,열무된장국,미니함박조림
누룽지탕/쌀밥,어묵국,미역줄기볶음,쌀밥/잡곡밥,아욱국,콩나물불고기,쌀밥/잡곡밥,매운버섯국,누룽지탕수육
홍게살죽/쌀밥,들깨감자국,오이생채,쌀밥/잡곡밥,냉이된장찌개,쇠고기장조림,베이컨김치볶음밥,미소장국,로제파스타
김치죽/쌀밥,콩나물국,김실파무침,쌀밥/잡곡밥,돈육김치찌개,유린기,*,,
누룽지탕/쌀밥,꽃게탕,명엽채볶음,쌀밥/잡곡밥,콩가루배추국,돼지갈비찜,통새우김밥,짬뽕,고구마치즈구이
참치야채죽/쌀밥,선지해장국,시래기조림,쌀밥/잡곡밥,대구매운탕,고추잡채*꽃빵,쌀밥/잡곡밥,연두부탕,닭강정
누룽지탕/쌀밥,건새우아욱국,진미채무침,쌀밥/잡곡밥,알탕,소고기숙주볶음,쌀밥/잡곡밥,부대찌개,고등어구이
브로컬리죽/쌀밥,배추맑은국,두부조림,쌀밥/잡곡밥,소고기미역국,주꾸미볶음,해물볶음밥,맑은국,비빔메밀국수
양송이죽/쌀밥,시래기들깨탕,느타리호박볶음,봄나물비빔밥,팽이장국,언양식불고기,쌀밥/잡곡밥,우거지탕,돈까스
누룽지탕/쌀밥,닭곰탕,대추채멸치볶음,쌀밥/잡곡밥,북어콩나물국,사천식탕수육,충무김밥,유부우동,오징어무침
쇠고기죽/쌀밥,두부김치국,미역나물,쌀밥/잡곡밥,쇠고기무국(빨갛게),생선커틀렛,쌀밥/잡곡밥,봄동된장국,동태콩나물찜
누룽지탕/쌀밥,감자국,무생채,쌀밥/잡곡밥,꽃게탕,훈제오리(마늘만),쌀밥/잡곡밥,콩비지찌개,가자미카레튀김
팥죽/쌀밥,콩나물국,꽃맛살볶음,쌀밥/잡곡밥,된장찌개,쇠불고기,참치주먹밥,쌀국수,오징어순대볶음
크림누룽지탕/쌀밥,차돌박이찌개,검정콩조림,짜장밥,맑은계란국,유산슬,쌀밥/잡곡밥,미역장국,유자청돈육볶음
홍게살죽/쌀밥,두부들깨탕,단배추나물,쌀밥/잡곡밥,근대국,마늘치킨,김치볶음밥/계란,유부주머니국,쇠고기퀘사디아
견과류죽/쌀밥,김치황태국,가지나물,쌀밥/잡곡밥,육개장,미니채소떡갈비,쌀밥/잡곡밥,매운어묵국,순살닭갈비
누룽지탕/쌀밥,콩나물국,쥐포무침,쌀밥/잡곡밥,얼갈이국,쇠고기낙지볶음,쌀밥/잡곡밥,무채국,치즈시즈닝치킨
표고버섯죽/쌀밥,민물새우찌개,취나물,쌀밥/잡곡밥,김치찌개,해물누룽지탕,쌀밥/잡곡밥,카레돈까스정식,미소장국
누룽지탕/쌀밥,쇠고기해장국,유채나물,쌀밥/잡곡밥,들깨미역국,삼겹살오븐구이,쌀밥/잡곡밥,순두부찌개,삼치구이
밤죽/쌀밥,두부젓국찌개,느타리볶음,쌀밥/잡곡밥,황태국,닭데리야끼조림,유부초밥,잔치국수,수제핫도그
늙은호박죽/쌀밥,근대국,마늘쫑건새우볶음,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음,쌀밥/잡곡밥,청국장찌개,돈육장조림
누룽지탕/쌀밥,어묵국,땅콩조림,쌀밥/잡곡밥,된장찌개,돈육굴소스볶음,쌀밥/잡곡밥,쇠고기무국,고등어조림
김치죽/쌀밥,감자국,멸치호두볶음,쌀밥/잡곡밥,들깨시래기국,쇠고기장조림,나가사끼짬뽕,야채볶음밥,치킨핑거*요거트D
누룽지탕/쌀밥,오징어국,김구이,곤드레밥,맑은국,탕수어,쌀밥/잡곡밥,닭개장,갈치구이
녹두죽/쌀밥,매운버섯국,쑥갓두부무침,쌀밥/잡곡밥,아욱국,등갈비김치찜,오므라이스,가쯔오장국,떡볶이
닭죽/쌀밥,피바지락국,명엽채무침,쌀밥/잡곡밥,콩나물김치국,버섯불고기,쌀밥/잡곡밥,열무된장국,돈육강정
누룽지탕/쌀밥,근대감자국,김자반,쌀밥/잡곡밥,부대찌개,언양식불고기,쌀밥/잡곡밥,오징어국,쇠고기숙주볶음
팥죽/쌀밥,콩나물국,우엉어묵볶음,쌀밥/잡곡밥,차돌박이찌개,닭강정,멸치주먹밥,양송이스프,토마토스파게티
누룽지탕/쌀밥,된장찌개,검정콩조림,비빔밥,맑은국,오징어튀김,*,,
야채죽/쌀밥,북어해장국,애호박볶음,쌀밥/잡곡밥,미역국,매콤함박스테이크,닭갈비볶음밥,어묵국,크림카레우동
흑임자죽/쌀밥,조랭이떡국,오이무침,쌀밥/잡곡밥,꽃게찌개,탕수육,쌀밥/잡곡밥,얼갈이된장국,주꾸미떡볶음
시금치죽/쌀밥,황태국,김구이,쌀밥/잡곡밥,참치김치찌개,훈제오리구이/쌈무,쌀밥/잡곡밥,순두부찌개,돈육굴소스볶음
홍게살죽/쌀밥,시래기된장국,진미채무침,쌀밥/잡곡밥,들깨미역국,닭갈비,야채볶음밥,유부주머니국,미니버거
누룽지탕/쌀밥,열무된장국,멸치크랜베리볶음,쌀밥/잡곡밥,고추장찌개,쇠불고기,쌀밥/잡곡밥,육개장,꽁치오븐구이
김치죽/쌀밥,어묵국,김구이,쌀밥/잡곡밥,된장찌개,제육볶음,쌀밥/잡곡밥,연두부탕,닭오븐구이
누룽지탕/쌀밥,감자국,청경채무침,쌀밥/잡곡밥,콩가루배추국,낙지볶음,볶음밥/짜장소스,맑은국,사천식탕수육
해물죽/쌀밥,호박젓국찌개,가지나물,쌀밥/잡곡밥,옹심이만두떡국,유린기,쌀밥/잡곡밥,청국장찌개,돼지갈비찜
누룽지탕/쌀밥,민물새우찌개,쑥갓두부무침,쌀밥/잡곡밥,콩비지찌개,돈육꽈리고추볶음,쌀밥/잡곡밥,닭개장,가자미카레튀김
야채죽/쌀밥,북어채국,브로컬리들깨찜,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음,꼬마김밥*겨자장,잔치국수,감자만두
누룽지탕/쌀밥,대구매운탕,검정콩조림,쌀밥/잡곡밥,열무된장국,쇠고기장조림,쌀밥/잡곡밥,차돌박이찌개,갈치양념조림
참치죽/쌀밥,우거지해장국,명엽채무침,쌀밥/잡곡밥,부대찌개,굴비구이,쌀밥/잡곡밥,옛날돈가스,옥수수스프
단호박죽/쌀밥,김치두부국,시금치나물,쌀밥/잡곡밥,새우살미역국,순살양념치킨,쌀밥/잡곡밥,배추된장국,쇠고기숙주볶음
크림누룽지탕/쌀밥,어묵국,숙주나물,쌀밥/잡곡밥,시금치된장국,제육볶음,쌀밥/잡곡밥,연두부찌개,코다리조림
땅콩죽/쌀밥,오징어국,김가루실파무침,쌀밥/잡곡밥,소고기국,간장찜닭,볶음밥,짬뽕,탕수육
누룽지탕/쌀밥,닭곰탕,애호박볶음,콩나물밥,김치국,고등어구이,쌀밥/잡곡밥,꽃게탕,모둠장조림
브로컬리죽/쌀밥,감자국,열무나물,쌀밥/잡곡밥,들깨시래기국,오리불고기,마파두부덮밥,유부장국,수제고로케
팥죽/쌀밥,맑은만두육개장,꽈리고추찜,쌀밥/잡곡밥,콩나물국,주꾸미떡볶음,쌀밥/잡곡밥,된장찌개,치즈닭갈비
누룽지탕/쌀밥,미역국,대추채멸치볶음,쌀밥/잡곡밥,황태국,소불고기,쌀밥/잡곡밥,우거지해장국,임연수엿장조림
수삼닭죽/쌀밥,소고기무국,비름나물,쌀밥/잡곡밥,얼갈이된장국,동파삼겹수육,김밥,맑은국,쫄면야채무침
누룽지탕/쌀밥,두부젓국찌개,자반김,열무보리비빔밥,가쯔오장국,탕수만두,자기계발의날,,
밤죽/쌀밥,동태찌개,브로컬리들깨소스,쌀밥/잡곡밥,오이냉국,등갈비김치찜,주먹밥,단호박스프,로제스파게티
홍게살죽/쌀밥,건새우아욱국,감자채볶음,쌀밥/잡곡밥,돈육김치찌개,삼치된장구이,쌀밥/잡곡밥,새알만두국,팝콘치킨*데리야끼소스
누룽지탕/쌀밥,쇠고기버섯국,쥐포무침,쌀밥/잡곡밥,근대국,돈육굴소스볶음,쌀밥/잡곡밥,감자고추장찌개,탕수어
호두죽/쌀밥,김치두부국,호박나물,쌀밥/잡곡밥,콩나물국,훈제오리구이,쌀밥/잡곡밥,열무된장국,돼지갈비찜
누룽지탕/쌀밥,어묵국,땅콩조림,쌀밥/잡곡밥,얼갈이된장국,미니채소떡갈비,김밥볶음밥,냉모밀국수,야채튀김
고구마죽/쌀밥,대구찌개,시래기조림,쌀밥/잡곡밥,호박잎된장찌개,깐풍기,쌀밥/잡곡밥,쇠고기미역국,가자미양념찜
누룽지탕/쌀밥,오징어국,느타리볶음,쌀밥/잡곡밥,연두부탕,쇠고기숙주볶음,쌀밥/잡곡밥,된장찌개,돈육강정
표고버섯죽/쌀밥,민물새우찌개,쑥갓두부무침,쌀밥/잡곡밥,도토리묵냉국,쭈꾸미볶음,참치회덮밥,미소장국,고구마치즈구이
누룽지탕/쌀밥,쇠고기무국,마늘쫑건새우볶음,곤드레밥*강된장,가쯔오장국,치킨핑거,쌀밥/잡곡밥,알탕,미트볼케찹조림
김치죽/쌀밥,시금치국,진미채무침,쌀밥/잡곡밥,쇠고기샤브국,갈치구이,볶음밥,열무김치국수,부추만두
녹두죽/쌀밥,북어국,미역줄기볶음,쌀밥/잡곡밥,아욱된장국,삼겹살구이,쌀밥/잡곡밥,참치김치찌개,쇠고기장조림
누룽지탕/쌀밥,꽃게탕,김구이,쌀밥/잡곡밥,들깨시래기국,유자청제육볶음,쌀밥/잡곡밥,감자국,닭데리야끼조림
양송이죽/쌀밥,무채국,비름나물,쌀밥/잡곡밥,오이지냉국,고등어김치말이,충무김밥,미역장국,오징어무침
누룽지탕/쌀밥,동태찌개,새송이버섯볶음,카레라이스,유부주머니국,언양식불고기,쌀밥/잡곡밥,해물된장찌개,고추잡채*꽃빵
팥죽/쌀밥,열무된장국,검정콩조림,쌀밥/잡곡밥,쇠고기미역국,해물누룽지탕,소고기주먹밥,쌀국수,또띠아피자
잣죽/쌀밥,조랭이떡국,꽈리고추찜,쌀밥/잡곡밥,나가사끼짬뽕국,닭갈비,쌀밥/잡곡밥,콩비지찌개,탕수어
누룽지탕/쌀밥,김치두부국,느타리버섯볶음,쌀밥/잡곡밥,차돌박이찌개,훈제오리고추장볶음,쌀밥/잡곡밥,연두부찌개,탕수육
해물죽/쌀밥,호박잎찌개,김자반,쌀밥/잡곡밥,북어콩나물국,오징어볶음,콩국수,작은밥,탄두리치킨
누룽지탕/쌀밥,쇠고기매운국,고구마순나물,콩나물밥,얼갈이된장국,삼치구이,*자기계발의날*,,
참치죽/쌀밥,고추장찌개,브로컬리두부무침,쌀밥/잡곡밥,우무묵냉국,갈릭돈까스,빠에야,올챙이만두국,웨지감자
쇠고기죽/쌀밥,시래기국,오이무침,쌀밥/잡곡밥,꼬지어묵탕,매운닭찜,쌀밥/잡곡밥,청국장찌개,장어강정
누룽지탕/쌀밥,된장찌개,가지나물,쌀밥/잡곡밥,콩나물국,짬뽕불고기,쌀밥/잡곡밥,육개장,고등어카레구이
밤죽/쌀밥,두부젓국찌개,명엽채무침,쌀밥/잡곡밥,배추된장국,낙지볶음,후난식볶음밥,가쯔오장국,닭강정
누룽지탕/쌀밥,오징어국,호박볶음,짜장덮밥,계란국,유산슬,쌀밥/잡곡밥,대구찌개,돈육굴소스볶음
녹두죽/쌀밥,쇠고기무국,지리멸치볶음,쌀밥/잡곡밥,아욱된장국,등갈비김치찜,김밥,잔치국수,수제고로케
단호박죽/쌀밥,꽃게탕,땅콩조림,쌀밥/잡곡밥,오이냉국,유린기,쌀밥/잡곡밥,순두부찌개,해물까스*탈탈소스
누룽지탕/쌀밥,무청된장국,쥐포무침,쌀밥/잡곡밥,콩나물국,버섯불고기,쌀밥/잡곡밥,감자국,사천식탕수육
야채죽/쌀밥,황태국,열무나물,쌀밥/잡곡밥,어묵국,주꾸미떡볶음,오므라이스,미소장국,새우또띠아
누룽지탕/쌀밥,바지락국,오이도라지무침,<초복특식>,삼계탕,찹쌀밥,쌀밥/잡곡밥,해물된장찌개,모둠장조림
팥죽/쌀밥,연두부탕,느타리볶음,쌀밥/잡곡밥,근대국,돼지갈비찜,유부초밥,김치말이국수,풋고추튀김
새우살죽/쌀밥,우거지해장국,깻순나물,쌀밥/잡곡밥,부대찌개,갈치조림,쌀밥/잡곡밥,고추장찌개,미니함박조림
