일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,석식계,조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
2017-01-17,화,2697,75,215,380,0.0,1035.0,469.0,팥죽/쌀밥,열무된장국,어묵볶음,쌀밥/잡곡밥,순두부찌개,쇠고기숙주볶음,후난식볶음밥,맑은국,닭강정
2017-01-18,수,2697,59,240,0,0.0,863.0,394.0,누룽지탕/쌀밥,꽃게탕,명엽채무침,쌀밥/잡곡밥,아욱국,훈제오리구이,쌀밥/잡곡밥,쇠고기샤브국,갈치양념조림
2017-01-19,목,2697,93,236,334,0.0,866.0,499.0,땅콩죽/쌀밥,민물새우찌개,브로컬리무침,쌀밥/잡곡밥,수제비국,유자청돈육볶음,김밥,새우튀김우동,펜네베이컨샐러드
2017-01-20,금,2697,207,267,61,0.0,709.0,446.0,소라살죽/쌀밥,콩나물김치국,새송이볶음,쌀밥/잡곡밥,닭개장,가자미카레튀김,쌀밥/잡곡밥,부대찌개,해물청경채볶음
2017-01-23,월,2697,108,202,396,0.0,1152.0,509.0,누룽지탕/쌀밥,북어계란국,가지나물,쌀밥/잡곡밥,냉이콩나물국,닭볶음,쌀밥/잡곡밥,쇠고기매운국,버섯탕수
2017-01-24,화,2697,63,218,273,0.0,974.0,396.0,단호박죽/쌀밥,근대국,느타리볶음,쌀밥/잡곡밥,알탕,돈육간장불고기,멸치주먹밥,잔치국수,쇠고기퀘사디아
2017-01-26,목,2697,369,117,28,0.0,844.0,147.0,야채죽/쌀밥,오징어국,크래미숙주무침,쌀밥/잡곡밥,배추된장국,소갈비찜,쌀밥/잡곡밥,시래기들깨탕,돈육강정
2017-01-31,화,2697,177,58,278,0.0,1240.0,680.0,땅콩죽/쌀밥,꽃게탕,김구이,쌀밥/잡곡밥,미역국,언양식불고기*양파채,김치볶음밥,꼬지어묵우동,해물까스*탈탈소스
2017-02-01,수,2632,61,179,0,0.0,1260.0,566.0,누룽지탕/쌀밥,황태국,검정콩조림,쌀밥/잡곡밥,시금치된장국,고추장불고기,쌀밥/잡곡밥,차돌박이찌개,장어강정
2017-02-02,목,2632,45,217,427,0.0,1005.0,549.0,시금치죽/쌀밥,선지해장국,연근조림,쌀밥/잡곡밥,굴김치두부국,스위트칠리미트볼,쇠고기덮밥,장국,야채튀김
2017-02-03,금,2632,104,253,92,0.0,854.0,582.0,새송이죽/쌀밥,홍합탕,겨울초겉절이,쌀밥/잡곡밥,콩나물국,소고기낙지볶음,쌀밥/잡곡밥,소고기무국,고등어김치말이
2017-02-06,월,2632,49,202,610,0.0,1319.0,768.0,누룽지탕/쌀밥,콩나물김치국,느타리호박볶음,쌀밥/잡곡밥,냉이된장찌개,닭갈비,쌀밥/잡곡밥,사골우거지국,탕수어
2017-02-07,화,2632,40,207,565,0.0,1114.0,554.0,양송이죽/쌀밥,재첩국,가지나물,쌀밥/잡곡밥,대구매운탕,유산슬,쌀밥/잡곡밥,순두부찌개,돈육굴소스볶음
2017-02-08,수,2632,52,206,0,0.0,1068.0,548.0,호박죽/쌀밥,아욱된장국,어묵볶음,콩나물밥,맑은국,닭오븐구이,쌀밥/잡곡밥,열무된장국,삼겹살구이
2017-02-09,목,2632,65,227,377,0.0,953.0,583.0,누룽지탕/쌀밥,감자국,오이무침,쌀밥/잡곡밥,배추국,수제돈까스,유부초밥,쌀국수,순대오징어볶음
2017-02-10,금,2632,149,284,59,0.0,797.0,505.0,닭죽/쌀밥,맑은연두부탕,참나물생채,오곡밥,소고기무국,굴비구이,쌀밥/잡곡밥,청국장찌개,미니함박조림
2017-02-13,월,2632,61,196,505,0.0,1364.0,689.0,누룽지탕/쌀밥,봄동된장국,진미채무침,쌀밥/잡곡밥,쇠고기미역국,제육볶음,쌀밥/잡곡밥,부대찌개,고등어구이
2017-02-14,화,2632,53,223,444,0.0,997.0,566.0,표고버섯죽/쌀밥,민물새우찌개,브로컬리들깨찜,쌀밥/잡곡밥,된장찌개,주꾸미볶음,짜장덮밥,맑은국,사천식탕수육
2017-02-15,수,2632,51,233,0,0.0,1045.0,505.0,누룽지탕/쌀밥,북어국,아삭고추무침,쌀밥/잡곡밥,들깨시래기국,순살파닭,쌀밥/잡곡밥,오징어국,돈육장조림
2017-02-16,목,2632,56,240,419,0.0,968.0,567.0,고구마죽/쌀밥,김치콩나물국,새송이볶음,쌀밥/잡곡밥,홍합탕,소불고기,오므라이스,가쯔오장국,치킨텐더
2017-02-17,금,2632,144,269,73,0.0,753.0,494.0,홍게살죽/쌀밥,근대국,무생채,쌀밥/잡곡밥,어묵국,등갈비김치찜,쌀밥/잡곡밥,콩비지찌개,고추잡채*꽃빵
2017-02-20,월,2632,104,199,494,0.0,1216.0,648.0,누룽지탕/쌀밥,달래된장찌개,크랜베리멸치볶음,쌀밥/잡곡밥,열무된장국,동파육,쌀밥/잡곡밥,얼갈이된장국,간장찜닭
2017-02-21,화,2632,63,226,445,0.0,1004.0,559.0,해물죽/쌀밥,고추장찌개,김가루실파무침,쌀밥/잡곡밥,버섯들깨탕,낙지볶음,날치알김치볶음밥,미역장국,쇠고기퀘사디아
2017-02-23,목,2632,75,272,307,0.0,917.0,534.0,녹두죽/쌀밥,호박젓국찌개,가지나물,쌀밥/잡곡밥,콩나물국,돼지갈비찜,참치주먹밥,김치우동,케이준샐러드
2017-02-24,금,2632,174,291,63,0.0,698.0,463.0,쇠고기죽/쌀밥,아욱된장국,두부조림,쌀밥/잡곡밥,수제비국,깐풍기,쌀밥/잡곡밥,쇠고기샤브국,가자미양념찜
2017-02-27,월,2632,134,181,368,0.0,1141.0,563.0,누룽지탕/쌀밥,건새우무채국,김구이,쌀밥/잡곡밥,봄동된장국,훈제오리구이,쌀밥/잡곡밥,황태국,짬뽕불고기
2017-02-28,화,2632,156,203,179,0.0,956.0,536.0,팥죽/쌀밥,시금치된장국,콩자반,쌀밥/잡곡밥,사골떡국,언양식불고기,김밥,꼬치어묵탕,쫄면야채무침
2017-03-02,목,2627,190,215,428,0.0,1057.0,593.0,잣죽/쌀밥,매운감자국,시래기조림,쌀밥/잡곡밥,돈육김치찌개,팝콘치킨*데리마요,후난식볶음밥,잔치국수,새우또띠아
2017-03-03,금,2627,174,256,70,0.0,926.0,578.0,표고버섯죽/쌀밥,쇠고기우거지국,참나물,카레덮밥,맑은국,미니채소떡갈비,쌀밥/잡곡밥,해물된장찌개,소고기모듬장조림
2017-03-06,월,2627,63,201,490,0.0,1311.0,658.0,누룽지탕/쌀밥,시래기된장국,쑥갓두부무침,쌀밥/잡곡밥,어묵국,순살닭갈비,쌀밥/잡곡밥,김치두부국,쇠불고기
2017-03-07,화,2627,41,214,455,0.0,994.0,545.0,단호박죽/쌀밥,북어해장국,가지나물,쌀밥/잡곡밥,토란탕,돈육칠리강정,참치야채비빔밥,맑은국,수제고로케
2017-03-08,수,2627,46,233,0,0.0,879.0,518.0,땅콩죽/쌀밥,맑은만두육개장,아삭고추무침,곤드레밥*강된장,미소국,오징어볶음,쌀밥/잡곡밥,차돌박이찌개,코다리강정
2017-03-09,목,2627,55,254,346,0.0,954.0,519.0,누룽지탕/쌀밥,재첩국,유채나물,쌀밥/잡곡밥,아욱국,마늘치킨,김밥볶음밥,팽이장국,볶음우동
2017-03-10,금,2627,145,291,63,0.0,664.0,461.0,야채죽/쌀밥,대구찌개,미역줄기볶음,쌀밥/잡곡밥,얼큰순두부찌개,해물청경채볶음,쌀밥/잡곡밥,미역국,제육볶음(빨갛게)
2017-03-13,월,2627,82,211,449,0.0,1295.0,596.0,누룽지탕/쌀밥,감자국,어묵볶음,쌀밥/잡곡밥,오징어국,버섯불고기,쌀밥/잡곡밥,육개장,갈치조림
2017-03-14,화,2627,46,230,437,0.0,972.0,533.0,견과류죽/쌀밥,된장찌개,느타리볶음,쌀밥/잡곡밥,동태찌개,미트볼케찹조림,콩나물밥,가쯔오장국,주꾸미볶음
2017-03-15,수,2627,40,234,0,0.0,961.0,486.0,새우살죽/쌀밥,두부젓국찌개,쥐포무침,쌀밥/잡곡밥,근대국,양념찜닭,쌀밥/잡곡밥,북어계란국,등갈비김치찜
2017-03-16,목,2627,47,259,357,0.0,951.0,504.0,누룽지탕/쌀밥,쑥국,브로컬리들깨찜,쌀밥/잡곡밥,옹심이만두국,돈육굴소스볶음,멸치주먹밥,김치말이국수,훈제오리냉채
2017-03-17,금,2627,129,299,59,0.0,625.0,429.0,흑임자죽/쌀밥,김치두부국,김자반,쌀밥/잡곡밥,고추장찌개,치킨커틀렛,쌀밥/잡곡밥,열무된장국,미니함박조림
2017-03-20,월,2627,86,207,390,0.0,1328.0,556.0,누룽지탕/쌀밥,어묵국,미역줄기볶음,쌀밥/잡곡밥,아욱국,콩나물불고기,쌀밥/잡곡밥,매운버섯국,누룽지탕수육
2017-03-21,화,2627,55,222,454,0.0,940.0,647.0,홍게살죽/쌀밥,들깨감자국,오이생채,쌀밥/잡곡밥,냉이된장찌개,쇠고기장조림,베이컨김치볶음밥,미소장국,로제파스타
2017-03-23,목,2627,62,245,321,0.0,911.0,557.0,누룽지탕/쌀밥,꽃게탕,명엽채볶음,쌀밥/잡곡밥,콩가루배추국,돼지갈비찜,통새우김밥,짬뽕,고구마치즈구이
2017-03-24,금,2627,181,279,50,0.0,644.0,518.0,참치야채죽/쌀밥,선지해장국,시래기조림,쌀밥/잡곡밥,대구매운탕,고추잡채*꽃빵,쌀밥/잡곡밥,연두부탕,닭강정
2017-03-27,월,2627,105,242,360,0.0,1114.0,501.0,누룽지탕/쌀밥,건새우아욱국,진미채무침,쌀밥/잡곡밥,알탕,소고기숙주볶음,쌀밥/잡곡밥,부대찌개,고등어구이
2017-03-28,화,2627,44,248,368,0.0,970.0,504.0,브로컬리죽/쌀밥,배추맑은국,두부조림,쌀밥/잡곡밥,소고기미역국,주꾸미볶음,해물볶음밥,맑은국,비빔메밀국수
2017-03-29,수,2627,42,237,0,0.0,966.0,474.0,양송이죽/쌀밥,시래기들깨탕,느타리호박볶음,봄나물비빔밥,팽이장국,언양식불고기,쌀밥/잡곡밥,우거지탕,돈까스
2017-03-30,목,2627,67,278,223,0.0,802.0,497.0,누룽지탕/쌀밥,닭곰탕,대추채멸치볶음,쌀밥/잡곡밥,북어콩나물국,사천식탕수육,충무김밥,유부우동,오징어무침
2017-03-31,금,2627,147,296,45,0.0,639.0,420.0,쇠고기죽/쌀밥,두부김치국,미역나물,쌀밥/잡곡밥,쇠고기무국(빨갛게),생선커틀렛,쌀밥/잡곡밥,봄동된장국,동태콩나물찜
2017-04-03,월,2626,81,198,465,0.0,1258.0,577.0,누룽지탕/쌀밥,감자국,무생채,쌀밥/잡곡밥,꽃게탕,훈제오리(마늘만),쌀밥/잡곡밥,콩비지찌개,가자미카레튀김
2017-04-04,화,2626,54,212,418,0.0,809.0,535.0,팥죽/쌀밥,콩나물국,꽃맛살볶음,쌀밥/잡곡밥,된장찌개,쇠불고기,참치주먹밥,쌀국수,오징어순대볶음
2017-04-05,수,2626,63,251,0,0.0,1060.0,391.0,크림누룽지탕/쌀밥,차돌박이찌개,검정콩조림,짜장밥,맑은계란국,유산슬,쌀밥/잡곡밥,미역장국,유자청돈육볶음
2017-04-06,목,2626,65,271,317,0.0,897.0,436.0,홍게살죽/쌀밥,두부들깨탕,단배추나물,쌀밥/잡곡밥,근대국,마늘치킨,김치볶음밥/계란,유부주머니국,쇠고기퀘사디아
2017-04-07,금,2626,151,291,67,0.0,602.0,431.0,견과류죽/쌀밥,김치황태국,가지나물,쌀밥/잡곡밥,육개장,미니채소떡갈비,쌀밥/잡곡밥,매운어묵국,순살닭갈비
2017-04-10,월,2626,81,229,418,0.0,1218.0,541.0,누룽지탕/쌀밥,콩나물국,쥐포무침,쌀밥/잡곡밥,얼갈이국,쇠고기낙지볶음,쌀밥/잡곡밥,무채국,치즈시즈닝치킨
2017-04-11,화,2626,44,234,440,0.0,994.0,535.0,표고버섯죽/쌀밥,민물새우찌개,취나물,쌀밥/잡곡밥,김치찌개,해물누룽지탕,쌀밥/잡곡밥,카레돈까스정식,미소장국
2017-04-12,수,2626,41,241,0,0.0,893.0,384.0,누룽지탕/쌀밥,쇠고기해장국,유채나물,쌀밥/잡곡밥,들깨미역국,삼겹살오븐구이,쌀밥/잡곡밥,순두부찌개,삼치구이
2017-04-13,목,2626,61,270,318,0.0,784.0,521.0,밤죽/쌀밥,두부젓국찌개,느타리볶음,쌀밥/잡곡밥,황태국,닭데리야끼조림,유부초밥,잔치국수,수제핫도그
2017-04-14,금,2626,122,298,55,0.0,541.0,402.0,늙은호박죽/쌀밥,근대국,마늘쫑건새우볶음,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음,쌀밥/잡곡밥,청국장찌개,돈육장조림
2017-04-17,월,2626,82,220,434,0.0,1237.0,479.0,누룽지탕/쌀밥,어묵국,땅콩조림,쌀밥/잡곡밥,된장찌개,돈육굴소스볶음,쌀밥/잡곡밥,쇠고기무국,고등어조림
2017-04-18,화,2626,57,244,405,0.0,839.0,567.0,김치죽/쌀밥,감자국,멸치호두볶음,쌀밥/잡곡밥,들깨시래기국,쇠고기장조림,나가사끼짬뽕,야채볶음밥,치킨핑거*요거트D
2017-04-19,수,2626,36,256,0,0.0,871.0,408.0,누룽지탕/쌀밥,오징어국,김구이,곤드레밥,맑은국,탕수어,쌀밥/잡곡밥,닭개장,갈치구이
2017-04-20,목,2626,44,288,284,0.0,713.0,511.0,녹두죽/쌀밥,매운버섯국,쑥갓두부무침,쌀밥/잡곡밥,아욱국,등갈비김치찜,오므라이스,가쯔오장국,떡볶이
2017-04-21,금,2626,137,307,59,0.0,547.0,353.0,닭죽/쌀밥,피바지락국,명엽채무침,쌀밥/잡곡밥,콩나물김치국,버섯불고기,쌀밥/잡곡밥,열무된장국,돈육강정
2017-04-24,월,2626,76,260,373,0.0,1109.0,531.0,누룽지탕/쌀밥,근대감자국,김자반,쌀밥/잡곡밥,부대찌개,언양식불고기,쌀밥/잡곡밥,오징어국,쇠고기숙주볶음
2017-04-25,화,2626,69,288,336,0.0,791.0,510.0,팥죽/쌀밥,콩나물국,우엉어묵볶음,쌀밥/잡곡밥,차돌박이찌개,닭강정,멸치주먹밥,양송이스프,토마토스파게티
2017-04-27,목,2626,61,311,183,0.0,788.0,442.0,야채죽/쌀밥,북어해장국,애호박볶음,쌀밥/잡곡밥,미역국,매콤함박스테이크,닭갈비볶음밥,어묵국,크림카레우동
2017-04-28,금,2626,161,310,44,0.0,575.0,362.0,흑임자죽/쌀밥,조랭이떡국,오이무침,쌀밥/잡곡밥,꽃게찌개,탕수육,쌀밥/잡곡밥,얼갈이된장국,주꾸미떡볶음
2017-05-02,화,2637,933,123,88,0.0,525.0,298.0,시금치죽/쌀밥,황태국,김구이,쌀밥/잡곡밥,참치김치찌개,훈제오리구이/쌈무,쌀밥/잡곡밥,순두부찌개,돈육굴소스볶음
2017-05-04,목,2637,1224,41,45,0.0,383.0,262.0,홍게살죽/쌀밥,시래기된장국,진미채무침,쌀밥/잡곡밥,들깨미역국,닭갈비,야채볶음밥,유부주머니국,미니버거
2017-05-08,월,2637,715,130,151,0.0,792.0,308.0,누룽지탕/쌀밥,열무된장국,멸치크랜베리볶음,쌀밥/잡곡밥,고추장찌개,쇠불고기,쌀밥/잡곡밥,육개장,꽁치오븐구이
2017-05-10,수,2637,68,223,0,0.0,1235.0,500.0,김치죽/쌀밥,어묵국,김구이,쌀밥/잡곡밥,된장찌개,제육볶음,쌀밥/잡곡밥,연두부탕,닭오븐구이
2017-05-11,목,2637,57,264,471,0.0,829.0,501.0,누룽지탕/쌀밥,감자국,청경채무침,쌀밥/잡곡밥,콩가루배추국,낙지볶음,볶음밥/짜장소스,맑은국,사천식탕수육
2017-05-12,금,2637,113,289,96,0.0,817.0,507.0,해물죽/쌀밥,호박젓국찌개,가지나물,쌀밥/잡곡밥,옹심이만두떡국,유린기,쌀밥/잡곡밥,청국장찌개,돼지갈비찜
2017-05-15,월,2637,63,224,516,0.0,1203.0,505.0,누룽지탕/쌀밥,민물새우찌개,쑥갓두부무침,쌀밥/잡곡밥,콩비지찌개,돈육꽈리고추볶음,쌀밥/잡곡밥,닭개장,가자미카레튀김
2017-05-16,화,2637,41,266,486,0.0,890.0,533.0,야채죽/쌀밥,북어채국,브로컬리들깨찜,쌀밥/잡곡밥,쇠고기샤브국,오징어볶음,꼬마김밥*겨자장,잔치국수,감자만두
2017-05-17,수,2637,46,268,0,0.0,864.0,484.0,누룽지탕/쌀밥,대구매운탕,검정콩조림,쌀밥/잡곡밥,열무된장국,쇠고기장조림,쌀밥/잡곡밥,차돌박이찌개,갈치양념조림
2017-05-18,목,2637,60,287,343,0.0,796.0,459.0,참치죽/쌀밥,우거지해장국,명엽채무침,쌀밥/잡곡밥,부대찌개,굴비구이,쌀밥/잡곡밥,옛날돈가스,옥수수스프
2017-05-19,금,2637,146,305,81,0.0,662.0,414.0,단호박죽/쌀밥,김치두부국,시금치나물,쌀밥/잡곡밥,새우살미역국,순살양념치킨,쌀밥/잡곡밥,배추된장국,쇠고기숙주볶음
2017-05-22,월,2637,63,240,504,0.0,1207.0,585.0,크림누룽지탕/쌀밥,어묵국,숙주나물,쌀밥/잡곡밥,시금치된장국,제육볶음,쌀밥/잡곡밥,연두부찌개,코다리조림
2017-05-23,화,2637,47,257,429,0.0,889.0,545.0,땅콩죽/쌀밥,오징어국,김가루실파무침,쌀밥/잡곡밥,소고기국,간장찜닭,볶음밥,짬뽕,탕수육
2017-05-24,수,2637,49,277,0,0.0,852.0,387.0,누룽지탕/쌀밥,닭곰탕,애호박볶음,콩나물밥,김치국,고등어구이,쌀밥/잡곡밥,꽃게탕,모둠장조림
2017-05-25,목,2637,57,290,320,0.0,838.0,456.0,브로컬리죽/쌀밥,감자국,열무나물,쌀밥/잡곡밥,들깨시래기국,오리불고기,마파두부덮밥,유부장국,수제고로케
2017-05-26,금,2637,164,302,60,0.0,597.0,462.0,팥죽/쌀밥,맑은만두육개장,꽈리고추찜,쌀밥/잡곡밥,콩나물국,주꾸미떡볶음,쌀밥/잡곡밥,된장찌개,치즈닭갈비
2017-05-29,월,2637,88,240,394,0.0,1193.0,555.0,누룽지탕/쌀밥,미역국,대추채멸치볶음,쌀밥/잡곡밥,황태국,소불고기,쌀밥/잡곡밥,우거지해장국,임연수엿장조림
2017-05-30,화,2637,57,256,293,0.0,821.0,579.0,수삼닭죽/쌀밥,소고기무국,비름나물,쌀밥/잡곡밥,얼갈이된장국,동파삼겹수육,김밥,맑은국,쫄면야채무침
2017-06-01,목,2648,66,265,317,0.0,914.0,505.0,밤죽/쌀밥,동태찌개,브로컬리들깨소스,쌀밥/잡곡밥,오이냉국,등갈비김치찜,주먹밥,단호박스프,로제스파게티
2017-06-02,금,2648,165,293,77,0.0,699.0,480.0,홍게살죽/쌀밥,건새우아욱국,감자채볶음,쌀밥/잡곡밥,돈육김치찌개,삼치된장구이,쌀밥/잡곡밥,새알만두국,팝콘치킨*데리야끼소스
2017-06-05,월,2648,633,150,174,0.0,760.0,306.0,누룽지탕/쌀밥,쇠고기버섯국,쥐포무침,쌀밥/잡곡밥,근대국,돈육굴소스볶음,쌀밥/잡곡밥,감자고추장찌개,탕수어
2017-06-07,수,2648,75,228,0,0.0,1127.0,549.0,호두죽/쌀밥,김치두부국,호박나물,쌀밥/잡곡밥,콩나물국,훈제오리구이,쌀밥/잡곡밥,열무된장국,돼지갈비찜
2017-06-08,목,2648,63,274,423,0.0,857.0,443.0,누룽지탕/쌀밥,어묵국,땅콩조림,쌀밥/잡곡밥,얼갈이된장국,미니채소떡갈비,김밥볶음밥,냉모밀국수,야채튀김
2017-06-09,금,2648,130,294,67,0.0,715.0,460.0,고구마죽/쌀밥,대구찌개,시래기조림,쌀밥/잡곡밥,호박잎된장찌개,깐풍기,쌀밥/잡곡밥,쇠고기미역국,가자미양념찜
2017-06-12,월,2648,87,209,529,0.0,1140.0,552.0,누룽지탕/쌀밥,오징어국,느타리볶음,쌀밥/잡곡밥,연두부탕,쇠고기숙주볶음,쌀밥/잡곡밥,된장찌개,돈육강정
2017-06-13,화,2648,47,234,451,0.0,916.0,540.0,표고버섯죽/쌀밥,민물새우찌개,쑥갓두부무침,쌀밥/잡곡밥,도토리묵냉국,쭈꾸미볶음,참치회덮밥,미소장국,고구마치즈구이
2017-06-14,수,2648,55,253,0,0.0,907.0,408.0,누룽지탕/쌀밥,쇠고기무국,마늘쫑건새우볶음,곤드레밥*강된장,가쯔오장국,치킨핑거,쌀밥/잡곡밥,알탕,미트볼케찹조림
2017-06-15,목,2648,64,268,318,0.0,763.0,443.0,김치죽/쌀밥,시금치국,진미채무침,쌀밥/잡곡밥,쇠고기샤브국,갈치구이,볶음밥,열무김치국수,부추만두
2017-06-16,금,2648,164,305,62,0.0,644.0,383.0,녹두죽/쌀밥,북어국,미역줄기볶음,쌀밥/잡곡밥,아욱된장국,삼겹살구이,쌀밥/잡곡밥,참치김치찌개,쇠고기장조림
2017-06-19,월,2648,102,226,455,0.0,1126.0,489.0,누룽지탕/쌀밥,꽃게탕,김구이,쌀밥/잡곡밥,들깨시래기국,유자청제육볶음,쌀밥/잡곡밥,감자국,닭데리야끼조림
2017-06-20,화,2648,66,253,429,0.0,888.0,508.0,양송이죽/쌀밥,무채국,비름나물,쌀밥/잡곡밥,오이지냉국,고등어김치말이,충무김밥,미역장국,오징어무침
2017-06-21,수,2648,60,269,0,0.0,982.0,445.0,누룽지탕/쌀밥,동태찌개,새송이버섯볶음,카레라이스,유부주머니국,언양식불고기,쌀밥/잡곡밥,해물된장찌개,고추잡채*꽃빵
2017-06-22,목,2648,69,273,317,0.0,875.0,451.0,팥죽/쌀밥,열무된장국,검정콩조림,쌀밥/잡곡밥,쇠고기미역국,해물누룽지탕,소고기주먹밥,쌀국수,또띠아피자
2017-06-23,금,2648,162,290,57,0.0,609.0,441.0,잣죽/쌀밥,조랭이떡국,꽈리고추찜,쌀밥/잡곡밥,나가사끼짬뽕국,닭갈비,쌀밥/잡곡밥,콩비지찌개,탕수어
2017-06-26,월,2648,112,237,374,0.0,1147.0,539.0,누룽지탕/쌀밥,김치두부국,느타리버섯볶음,쌀밥/잡곡밥,차돌박이찌개,훈제오리고추장볶음,쌀밥/잡곡밥,연두부찌개,탕수육
2017-06-27,화,2648,59,256,309,0.0,973.0,575.0,해물죽/쌀밥,호박잎찌개,김자반,쌀밥/잡곡밥,북어콩나물국,오징어볶음,콩국수,작은밥,탄두리치킨
2017-06-29,목,2648,66,266,209,0.0,814.0,451.0,참치죽/쌀밥,고추장찌개,브로컬리두부무침,쌀밥/잡곡밥,우무묵냉국,갈릭돈까스,빠에야,올챙이만두국,웨지감자
2017-06-30,금,2648,188,296,34,0.0,695.0,370.0,쇠고기죽/쌀밥,시래기국,오이무침,쌀밥/잡곡밥,꼬지어묵탕,매운닭찜,쌀밥/잡곡밥,청국장찌개,장어강정
2017-07-03,월,2839,66,214,414,0.0,1231.0,501.0,누룽지탕/쌀밥,된장찌개,가지나물,쌀밥/잡곡밥,콩나물국,짬뽕불고기,쌀밥/잡곡밥,육개장,고등어카레구이
2017-07-04,화,2839,50,247,368,0.0,962.0,432.0,밤죽/쌀밥,두부젓국찌개,명엽채무침,쌀밥/잡곡밥,배추된장국,낙지볶음,후난식볶음밥,가쯔오장국,닭강정
2017-07-05,수,2839,46,260,0,0.0,912.0,340.0,누룽지탕/쌀밥,오징어국,호박볶음,짜장덮밥,계란국,유산슬,쌀밥/잡곡밥,대구찌개,돈육굴소스볶음
2017-07-06,목,2839,72,268,341,0.0,821.0,501.0,녹두죽/쌀밥,쇠고기무국,지리멸치볶음,쌀밥/잡곡밥,아욱된장국,등갈비김치찜,김밥,잔치국수,수제고로케
2017-07-07,금,2839,146,288,73,0.0,613.0,472.0,단호박죽/쌀밥,꽃게탕,땅콩조림,쌀밥/잡곡밥,오이냉국,유린기,쌀밥/잡곡밥,순두부찌개,해물까스*탈탈소스
2017-07-10,월,2839,98,215,406,0.0,1084.0,527.0,누룽지탕/쌀밥,무청된장국,쥐포무침,쌀밥/잡곡밥,콩나물국,버섯불고기,쌀밥/잡곡밥,감자국,사천식탕수육
2017-07-11,화,2839,62,232,380,0.0,866.0,444.0,야채죽/쌀밥,황태국,열무나물,쌀밥/잡곡밥,어묵국,주꾸미떡볶음,오므라이스,미소장국,새우또띠아
2017-07-12,수,2839,69,263,0,0.0,918.0,414.0,누룽지탕/쌀밥,바지락국,오이도라지무침,<초복특식>,삼계탕,찹쌀밥,쌀밥/잡곡밥,해물된장찌개,모둠장조림
2017-07-13,목,2839,79,277,311,0.0,765.0,461.0,팥죽/쌀밥,연두부탕,느타리볶음,쌀밥/잡곡밥,근대국,돼지갈비찜,유부초밥,김치말이국수,풋고추튀김
2017-07-14,금,2839,209,286,57,0.0,613.0,485.0,새우살죽/쌀밥,우거지해장국,깻순나물,쌀밥/잡곡밥,부대찌개,갈치조림,쌀밥/잡곡밥,고추장찌개,미니함박조림
2017-07-17,월,2839,132,212,424,0.0,1168.0,500.0,누룽지탕/쌀밥,김치순두부찌개,브로컬리된장무침,쌀밥/잡곡밥,무채국,돈육고추장볶음,쌀밥/잡곡밥,꽃게탕,소고기장조림
2017-07-18,화,2839,98,239,419,0.0,916.0,513.0,잣죽/쌀밥,콩나물국,김자반,쌀밥/잡곡밥,열무된장국,간장찜닭,목살필라프,단호박스프,토마토스파게티
2017-07-19,수,2839,79,259,0,0.0,830.0,457.0,누룽지탕/쌀밥,쇠고기미역국,시래기조림,김치제육덮밥,맑은국,양장피잡채,쌀밥/잡곡밥,호박잎된장찌개,언양식불고기
2017-07-20,목,2839,90,278,270,0.0,750.0,429.0,녹두죽/쌀밥,건새우아욱국,진미채무침,쌀밥/잡곡밥,소고기매운무국,오징어굴소스볶음,카레라이스,유부장국,해물볶음우동
2017-07-21,금,2839,206,301,46,0.0,648.0,410.0,흑임자죽/쌀밥,차돌박이찌개,검정콩조림,쌀밥/잡곡밥,닭곰탕,미트볼케찹조림,쌀밥/잡곡밥,육개장,꽁치구이
2017-07-24,월,2839,237,211,401,0.0,1119.0,486.0,누룽지탕/쌀밥,시금치국,김구이,쌀밥/잡곡밥,어묵탕,콩나물불고기,쌀밥/잡곡밥,콩가루배추국,고추잡채*꽃빵
2017-07-25,화,2839,214,243,272,0.0,827.0,514.0,김치죽/쌀밥,오징어국,고구마줄기볶음,쌀밥/잡곡밥,된장찌개,가자미카레튀김,빠에야,냉모밀국수,비빔야채만두
2017-07-27,목,2839,334,240,221,0.0,804.0,486.0,호박죽/쌀밥,무청된장국,새송이버섯볶음,쌀밥/잡곡밥,콩나물냉국,순살파닭,마파두부덮밥,미역장국,탕수육
2017-07-28,금,2839,419,264,46,0.0,501.0,459.0,크림누룽지탕/쌀밥,동태찌개,취나물,쌀밥/잡곡밥,쇠고기샤브국,주꾸미떡볶음,쌀밥/잡곡밥,닭개장,생선까스*탈탈소스
2017-07-31,월,2839,524,156,192,0.0,945.0,455.0,누룽지탕/쌀밥,두부김치국,명엽채무침,쌀밥/잡곡밥,연두부탕,쇠고기숙주볶음,쌀밥/잡곡밥,아욱국,돈육씨앗강정
2017-08-01,화,2645,466,181,320,0.0,745.0,509.0,수삼닭죽/쌀밥,북어국,오이무침,쌀밥/잡곡밥,부대찌개,해물누룽지탕,김밥볶음밥,잔치국수,훈제오리냉채
2017-08-02,수,2645,454,188,0,0.0,799.0,337.0,누룽지탕/쌀밥,호박젓국찌개,미역줄기볶음,쌀밥/잡곡밥,꽃게탕,미니채소떡갈비,쌀밥/잡곡밥,느타리버섯국,탕수어
