id,Overall Qual,Gr Liv Area,Exter Qual,Garage Cars,Garage Area,Kitchen Qual,Total Bsmt SF,1st Flr SF,Bsmt Qual,Full Bath,Year Built,Year Remod/Add,Garage Yr Blt,target
340,7,1724,TA,2,527,Gd,880,880,Gd,2,1998,1999,1998,188000
341,5,1358,TA,1,336,Gd,687,687,TA,1,1930,2005,2004,124500
342,7,1508,Gd,2,572,Gd,1508,1508,Gd,1,2009,2010,2009,308030
343,5,768,TA,1,396,TA,768,768,Gd,1,1972,2003,1974,133900
344,7,2696,Gd,3,792,Ex,1264,1282,Ex,2,2007,2007,2007,383970
345,6,1827,TA,1,240,TA,848,1017,TA,1,1924,1996,1943,202500
346,5,864,TA,2,576,TA,864,864,Gd,1,1971,1971,1977,123000
347,5,792,Gd,1,287,TA,624,792,Fa,1,1923,1950,1963,99500
348,7,1141,Gd,2,484,Gd,1141,1141,Gd,1,2006,2006,2006,152000
349,6,1264,TA,2,400,TA,676,676,Gd,1,1914,1995,1994,147500
350,5,1510,TA,2,517,Gd,1510,1510,TA,2,1967,1967,1967,178900
351,5,894,TA,2,450,TA,894,894,Gd,1,1968,1968,1968,129000
352,7,1456,Gd,2,400,Gd,728,728,Gd,2,2007,2007,2007,179540
353,8,1646,Gd,2,525,Gd,1594,1646,Ex,2,2004,2005,2004,300000
354,6,1003,TA,2,588,TA,1003,1003,TA,1,1984,1984,1984,142500
355,5,1008,TA,1,240,Gd,1008,1008,TA,1,1953,2006,1953,134500
356,5,1053,Gd,1,312,Gd,1053,1053,TA,1,1959,2006,1959,145500
357,5,1654,TA,1,336,TA,297,1001,TA,2,1930,1982,1955,137000
358,6,1877,TA,2,488,TA,1084,1084,TA,2,1974,1974,1974,178900
359,9,1944,Gd,3,708,Ex,1896,1944,Ex,2,2003,2004,2003,360000
360,7,1102,Gd,2,480,Gd,551,551,Gd,2,2004,2004,2004,148800
361,7,1055,TA,1,319,TA,1061,1055,Gd,2,1978,1978,1978,142500
362,9,1838,Ex,3,765,Ex,1838,1838,Ex,2,2006,2006,2006,315000
363,7,1426,Gd,1,216,Gd,912,912,TA,1,1918,1998,1925,189950
364,5,988,TA,1,360,TA,988,988,TA,1,1966,1966,1974,129250
365,8,2687,Gd,3,810,Gd,1455,1466,Gd,2,2000,2000,2000,327000
366,6,1561,TA,2,463,TA,1561,1561,TA,2,1960,1960,1960,193000
367,6,1525,TA,2,400,TA,813,813,TA,2,1997,1998,1997,183500
368,5,864,TA,1,352,TA,864,864,TA,1,1972,1972,1989,127000
369,6,1392,TA,1,299,TA,689,689,Gd,1,1977,1977,1977,161750
370,6,1436,TA,2,828,TA,884,884,TA,2,1940,1950,1940,155000
371,5,1150,TA,1,288,TA,1078,1150,TA,1,1955,1955,1955,144000
372,7,1696,TA,2,625,TA,1696,1696,Gd,2,1971,1971,1971,198000
373,5,882,TA,2,461,TA,882,882,TA,1,1972,1972,1980,112500
374,8,1646,Gd,3,800,Gd,1638,1646,Gd,2,2007,2008,2008,293077
375,5,1728,TA,2,576,TA,1728,1728,TA,2,1965,1965,1987,145000
376,6,1797,Gd,2,616,Gd,1152,1152,Gd,2,1993,1994,1993,231000
377,7,1884,Gd,2,581,Ex,926,1016,Gd,2,2003,2003,2003,240900
378,7,1611,Gd,3,1231,Gd,1569,1611,Gd,2,2002,2002,2002,250000
379,5,768,TA,2,624,TA,768,768,Gd,1,1970,1970,1987,129500
380,8,1659,Gd,2,499,Ex,1501,1659,Gd,2,2000,2000,2000,278000
381,8,2122,Gd,3,938,Gd,2108,2122,Gd,2,2007,2007,2007,345474
382,5,896,TA,1,730,TA,882,896,TA,1,1961,1961,1961,105000
383,6,1320,TA,2,472,Gd,636,636,Gd,2,1994,1994,1994,150000
384,6,1764,TA,2,470,Gd,928,928,Gd,2,1997,1997,1997,231500
385,7,1341,TA,2,506,Gd,1300,1341,Gd,1,1990,1990,1990,171500
386,4,1092,TA,1,286,TA,546,546,TA,1,1970,1970,1970,71000
387,8,1607,Gd,2,480,Gd,960,962,Gd,2,1999,2000,2000,200000
388,5,894,TA,1,336,TA,894,894,TA,1,1965,2009,1973,138500
389,5,1968,TA,2,530,TA,784,1168,TA,2,1969,1969,1969,172000
390,6,1152,TA,2,412,TA,912,1152,TA,1,1968,1968,1968,143450
391,8,2063,Gd,3,815,Gd,2024,2063,Gd,2,1994,1995,1994,315000
392,8,1780,Gd,2,612,Gd,920,920,Gd,2,2007,2007,2007,264966
393,4,1470,TA,1,548,TA,941,997,TA,2,1954,1972,1958,135000
394,5,1040,TA,2,576,Gd,1040,1040,Gd,1,1996,1996,2000,152000
395,8,2332,Gd,3,756,Ex,1148,1170,Ex,2,2004,2004,2004,316000
396,6,1091,TA,1,429,TA,384,1091,Gd,1,1993,1996,1993,131250
397,7,2069,TA,2,505,Gd,585,2069,Gd,2,1960,2007,1960,242000
398,8,1818,Gd,3,774,Ex,895,895,Ex,2,2007,2007,2007,281500
399,7,1368,TA,4,784,TA,1288,1368,Gd,2,1997,1997,1997,215000
400,7,1863,Gd,3,660,Gd,879,879,Gd,2,2006,2006,2006,219210
401,5,967,TA,1,180,TA,967,967,TA,1,1920,1990,1920,99900
402,5,1624,TA,1,240,TA,1444,1624,TA,1,1952,1952,1952,146500
403,5,988,TA,1,264,TA,988,988,TA,1,1958,1958,1958,119000
404,6,1969,TA,2,400,TA,1272,1272,TA,2,1938,1958,1938,141000
405,4,1484,Fa,1,264,TA,771,866,TA,2,1910,1950,1910,50000
406,7,1004,TA,1,200,Gd,502,502,TA,1,1930,1950,1930,105000
407,4,1510,Gd,2,720,Gd,677,833,Fa,2,1910,1950,1974,87500
408,4,1100,TA,1,312,TA,1100,1100,TA,1,1960,1960,1960,141000
409,4,1647,TA,1,280,TA,1105,1647,TA,1,1953,1953,1953,153000
410,5,804,TA,1,240,Gd,788,804,TA,1,1940,1992,1940,119000
411,6,1218,Gd,2,676,Gd,1218,1218,Gd,2,2009,2009,2009,208300
412,6,1844,Gd,2,540,Gd,1844,1844,TA,2,1969,1969,1969,223000
413,6,936,TA,2,460,TA,920,936,Ex,0,1996,1997,1996,140000
414,5,1302,TA,1,280,TA,630,630,TA,2,1971,1971,1991,112000
415,4,894,TA,2,396,TA,894,894,TA,1,1960,1960,1988,141500
416,8,1904,Gd,2,736,Ex,1058,1058,Gd,2,2005,2005,2003,275000
417,10,2332,Ex,3,846,Ex,1682,1742,Ex,2,2007,2008,2008,426000
418,5,1560,TA,1,313,TA,1150,1560,TA,1,1956,1956,1956,103500
419,9,2713,Ex,3,858,Ex,1452,1476,Ex,2,2008,2008,2008,446261
420,6,1400,TA,2,440,TA,672,672,TA,1,1978,1978,1978,149500
421,7,1492,Gd,2,440,Gd,738,738,Gd,2,2006,2006,2006,169985
422,6,1476,Gd,2,540,Gd,738,738,Gd,2,2005,2005,2005,173500
423,6,1456,TA,2,440,Gd,855,855,TA,2,1975,1975,1975,149900
424,8,1922,Gd,3,692,Gd,1922,1922,Gd,2,2002,2002,2002,282000
425,5,1304,TA,1,336,TA,264,616,Gd,1,1977,1977,1977,104500
426,7,1673,Gd,2,583,Gd,1673,1673,TA,2,2000,2000,2000,270000
427,6,1577,TA,1,312,Fa,972,972,TA,1,1939,1950,1939,140200
428,7,1775,Gd,2,425,Gd,740,1006,Gd,2,1993,1993,1993,213000
429,6,864,TA,1,288,Gd,864,864,TA,1,1959,1959,1959,120000
430,6,1429,TA,2,572,Gd,1144,1429,TA,1,1960,1987,1960,181900
431,6,1734,TA,2,440,Gd,912,1085,TA,1,1962,1981,1962,159000
432,5,985,Gd,1,328,TA,985,985,Gd,2,1977,1977,1977,149900
433,7,1553,Gd,2,615,Gd,756,756,Gd,2,2005,2006,2005,186500
434,5,1560,TA,2,484,TA,1560,1560,TA,2,1958,1958,1958,128600
435,5,1187,TA,2,440,TA,864,1187,TA,1,1961,1961,1961,140500
436,6,1386,TA,2,440,TA,672,672,TA,2,1978,1978,1978,158900
437,7,1660,Gd,2,493,Gd,831,831,Gd,2,2002,2002,2002,195000
438,6,1384,TA,2,390,TA,384,754,Gd,2,1997,1997,1997,161500
439,4,520,TA,1,240,Fa,520,520,TA,1,1927,1950,1920,68500
440,5,1337,TA,1,264,Gd,572,1337,TA,1,1950,2006,1950,141500
441,7,1361,Gd,2,610,Gd,1351,1361,Gd,2,2007,2007,2007,193000
442,6,1388,TA,2,522,TA,1388,1388,Gd,2,1968,1968,1968,158900
443,6,790,TA,1,160,TA,768,790,Gd,1,1930,1950,1925,91000
444,5,1588,TA,2,480,TA,768,1024,TA,1,1955,1967,1955,150000
445,4,630,TA,1,286,TA,630,630,Gd,1,1970,1970,1970,80000
446,6,1689,TA,2,480,TA,1436,1689,TA,1,1956,1956,1956,127500
447,4,864,TA,1,280,TA,864,864,TA,1,1970,1970,1972,116050
448,5,1097,TA,1,242,TA,1097,1097,Gd,1,1996,1996,1996,147900
449,5,1236,TA,1,447,Gd,1070,1236,TA,1,1957,1996,1957,134450
450,7,1686,Gd,2,462,Gd,891,891,Gd,2,2005,2005,2005,184000
451,9,2690,Gd,3,864,Ex,1365,1365,Ex,2,2009,2009,2009,398800
452,7,1894,Gd,2,510,Gd,817,824,Gd,2,2002,2003,2002,214900
453,5,1327,TA,2,624,Gd,1063,1327,TA,1,1959,2002,1974,150750
454,7,1710,Gd,2,548,Gd,856,856,Gd,2,2003,2003,2003,208500
455,7,1482,TA,2,324,TA,650,832,TA,1,1920,1988,1930,143000
456,6,1586,TA,2,435,TA,1362,1586,Gd,2,1979,1998,1979,181000
457,6,1392,TA,2,576,TA,1392,1392,Fa,1,1968,1968,1968,110000
458,5,1728,TA,2,576,TA,1728,1728,TA,2,1965,1965,1987,142600
459,6,2048,TA,2,776,TA,1958,2048,TA,3,1976,1976,1976,170000
460,6,1820,Gd,2,492,Gd,864,920,Gd,2,1993,1997,1993,191750
461,7,2075,Gd,2,473,Gd,1148,1091,Gd,2,1993,1993,1993,255000
462,7,1274,Gd,2,508,Gd,1274,1274,Gd,2,2005,2007,2005,203000
463,10,3627,Gd,3,807,Gd,1930,1831,Ex,3,1995,1996,1995,625000
464,6,1212,TA,2,460,Gd,1212,1212,Gd,2,2009,2009,2009,186000
465,6,2180,TA,2,720,TA,1138,1138,TA,1,1915,1950,2006,161000
466,5,694,TA,1,352,Gd,440,694,TA,1,1913,2002,1990,90350
467,6,1348,TA,2,453,TA,660,660,TA,1,1966,1966,1966,155000
468,5,1869,TA,2,456,TA,1088,1188,TA,1,1890,1996,1963,124900
469,5,789,TA,1,200,TA,768,789,TA,1,1926,1950,1926,96500
470,8,1378,Gd,2,540,Gd,1378,1378,Gd,2,2004,2004,2004,214000
471,7,1302,TA,1,224,Gd,680,798,TA,1,1940,1998,1940,165250
472,7,1240,Gd,3,826,Gd,1240,1240,Gd,2,2006,2006,2006,194000
473,5,1328,TA,1,308,TA,768,768,TA,1,1950,1970,1950,129500
474,7,1245,Gd,2,495,Gd,1235,1245,Gd,2,2004,2005,2004,178000
475,7,1626,Gd,2,474,Gd,764,764,Gd,2,2003,2004,2003,173000
476,5,1036,TA,1,312,TA,1036,1036,TA,1,1953,1953,1953,112900
477,7,3082,TA,2,672,TA,824,1687,TA,2,1920,1970,1970,197000
478,7,1344,TA,2,456,Gd,672,672,TA,1,1929,1990,1979,140000
479,7,1382,Gd,2,396,TA,384,751,Gd,2,1998,1998,1998,177500
480,4,864,TA,2,660,Gd,864,864,TA,1,1970,1970,1989,120500
481,5,1728,TA,1,352,TA,1728,1728,TA,2,1964,1964,2002,119000
482,6,1232,Gd,2,440,Gd,816,1232,TA,1,1916,2000,1916,147500
483,5,1382,TA,2,660,TA,720,854,TA,1,1941,1950,1991,128500
484,7,1500,Gd,2,570,Gd,1500,1500,Gd,2,2004,2004,2004,190000
485,6,1982,TA,2,501,TA,572,1182,TA,2,1986,1986,1986,208000
486,8,1468,Gd,3,904,Gd,1468,1468,Gd,2,2008,2008,2008,239900
487,6,1501,TA,2,420,Gd,697,697,Gd,2,1993,1994,1993,165600
488,5,1150,TA,1,215,TA,799,799,TA,1,1942,1950,1942,128000
489,7,1671,Gd,2,451,TA,1022,1122,TA,2,1929,1950,1963,218000
490,7,1494,Gd,2,514,Gd,1482,1494,Gd,2,1998,1998,1998,215000
491,7,1277,TA,2,526,TA,1277,1277,TA,1,1970,1970,1970,167000
492,6,1716,Gd,2,615,Gd,858,858,Gd,2,2005,2005,2005,200825
493,6,1416,TA,2,400,Gd,780,940,TA,1,1900,2004,1956,156500
494,7,1228,TA,1,215,TA,600,628,TA,1,1918,1990,1918,137000
495,7,1135,Gd,2,576,Gd,560,575,Gd,1,1936,2007,1971,155000
496,5,875,TA,1,180,TA,715,875,TA,1,1931,1993,1931,105000
497,7,1477,TA,1,216,TA,861,877,TA,2,1928,1950,1928,145000
498,6,1666,TA,1,384,TA,1204,1204,TA,1,1927,1950,1927,135000
499,5,1330,Fa,1,390,TA,396,665,Fa,1,1910,2004,2001,116500
500,7,1337,Gd,2,511,Gd,1405,1337,Gd,2,1999,1999,1999,184000
501,5,1322,TA,1,280,TA,672,899,TA,1,1939,1952,1939,132000
502,9,1752,Ex,2,576,Ex,1752,1752,Ex,2,2005,2005,2005,319900
503,5,1176,TA,1,292,TA,1176,1176,TA,1,1957,1957,1957,136500
504,5,2634,TA,4,968,TA,1248,1338,TA,2,1969,1969,1969,200000
505,5,1558,TA,2,440,TA,864,1558,TA,2,1975,2001,1975,163000
506,5,1073,TA,1,326,TA,1073,1073,TA,1,1921,1968,1968,108480
507,6,1422,TA,2,576,Gd,1422,1422,Gd,2,1981,1981,1981,175500
508,7,1409,Gd,2,576,Gd,1409,1409,Gd,1,2002,2002,2002,245000
509,6,1040,TA,2,320,TA,1040,1040,TA,1,1925,1992,1993,127500
510,7,2000,TA,3,650,TA,996,996,Gd,2,1993,1994,1993,188000
511,5,1020,Gd,2,528,TA,980,1020,TA,2,1964,2001,1970,165000
512,8,2042,Ex,3,1390,Ex,2042,2042,Ex,2,2008,2009,2009,253293
513,6,1207,TA,1,264,TA,1135,1207,TA,1,1962,1985,1962,147000
514,7,1749,Gd,2,515,Gd,842,856,Gd,2,1999,1999,1999,196000
515,5,1440,TA,2,480,TA,720,720,TA,1,1964,1964,1964,157500
516,7,1479,Gd,2,577,Gd,1468,1479,Gd,2,1999,2000,1999,191000
517,8,1341,Gd,2,482,Gd,1341,1341,Gd,1,1999,2000,1999,246900
518,5,1092,TA,1,288,TA,1092,1092,TA,1,1962,1962,1962,139000
519,9,2091,Ex,2,521,Ex,1606,1625,Ex,2,2005,2006,2005,338500
520,6,1773,TA,2,418,TA,1313,1773,TA,2,1961,1992,1961,183000
521,5,1017,TA,1,308,TA,346,709,TA,1,1900,2003,1961,114000
522,6,1548,TA,2,440,Gd,804,804,Gd,2,1976,1976,1976,155000
523,6,987,TA,1,264,Gd,483,483,TA,1,1972,2007,1972,118000
524,7,1480,Gd,2,620,Gd,1480,1480,Gd,2,2003,2009,2003,214000
525,6,1556,TA,2,441,TA,727,829,TA,1,1968,1968,1968,154000
526,5,990,TA,2,576,TA,990,990,Gd,1,1995,1995,1996,156000
527,7,1432,Gd,2,432,Gd,716,716,Gd,2,2004,2005,2004,188500
528,6,1494,TA,2,461,TA,1208,1494,TA,2,1974,2002,1974,169000
529,7,1948,Gd,2,434,Gd,847,847,Gd,2,2003,2003,2003,211000
530,7,2197,Gd,3,783,Gd,1080,1108,Gd,2,1993,1994,1993,287500
531,7,1223,Gd,2,480,Gd,600,520,Gd,2,2005,2005,2005,149900
532,7,1208,Gd,2,632,Gd,1187,1208,Gd,2,2006,2006,2006,206000
533,5,1050,TA,1,368,TA,1050,1050,TA,1,1961,1961,1961,136500
534,5,1060,TA,2,572,TA,1040,1060,Gd,1,1976,1976,1976,129900
535,5,1053,TA,2,750,Ex,1008,1053,TA,1,1958,1991,1998,150000
536,5,1566,TA,2,450,Gd,816,816,TA,1,1924,1950,1976,139000
537,8,1742,Gd,2,564,Gd,1742,1742,Gd,2,1985,1985,1985,275000
538,6,986,TA,1,180,TA,960,986,TA,1,1926,1950,1926,102000
539,5,864,TA,1,308,TA,864,864,TA,1,1959,1959,1960,118000
540,6,1456,TA,2,460,TA,855,855,Gd,2,1976,1976,1976,144000
541,7,1576,Gd,3,668,Gd,1393,1576,Gd,2,2004,2004,2004,219990
542,6,2654,TA,2,619,Gd,1054,1512,TA,2,1968,1984,1968,250000
543,5,1336,TA,2,502,TA,1288,1336,Gd,2,1969,1969,1969,163000
544,5,1252,TA,2,576,TA,504,936,Fa,1,1908,1991,1986,127000
545,6,1617,Gd,2,533,Gd,1604,1617,Gd,2,1993,1994,1993,193000
546,6,1512,Gd,2,440,Gd,756,756,Gd,2,2000,2000,2000,180000
547,5,1057,TA,2,576,TA,1057,1057,TA,1,1962,1962,1977,132000
548,5,1086,TA,2,490,TA,1086,1086,TA,1,1954,2003,1989,144900
549,8,1448,Gd,2,692,Gd,1372,1448,Gd,2,2006,2007,2006,238500
550,7,1248,Gd,2,438,Gd,1248,1248,Gd,2,2005,2006,2005,167240
551,5,1044,Fa,2,504,Fa,540,1044,TA,1,1952,1952,1952,55993
552,6,1324,Gd,2,430,Gd,1324,1324,Gd,2,2005,2005,2005,199500
553,6,1891,TA,2,678,TA,1224,1287,Gd,3,1978,1978,1978,212500
554,8,2290,Gd,2,779,Gd,1128,1149,Gd,2,2002,2002,2002,255900
555,7,1964,TA,2,483,TA,803,1098,TA,2,1976,1976,1976,205000
556,5,1174,TA,2,528,TA,864,1174,Gd,1,1978,1978,1978,158000
557,7,1220,Gd,2,632,Gd,1199,1220,Gd,2,2006,2006,2006,194000
558,7,2125,Gd,2,576,Gd,1064,1064,Ex,2,1996,1997,1996,279500
559,6,1906,TA,2,576,TA,1310,1906,TA,1,1954,1954,1954,224000
560,7,1923,Gd,2,564,Gd,750,1061,Gd,2,1992,1992,1992,190000
561,5,1298,TA,1,256,TA,720,854,TA,1,1941,1950,1940,122000
562,7,1717,Gd,2,400,Gd,1156,1187,Gd,2,1990,1991,1990,187500
563,7,1476,Gd,2,552,Gd,738,738,Gd,2,2007,2007,2007,179400
564,9,1577,Ex,2,564,Ex,1577,1577,Ex,2,2005,2005,2005,280000
565,6,1096,TA,2,484,TA,1008,1096,TA,1,1978,1978,1978,157500
566,6,1616,TA,1,216,Gd,1149,1149,TA,2,1926,2004,1926,152000
567,5,1784,TA,1,180,TA,747,892,Gd,1,1914,1950,1914,138887
568,6,1548,TA,2,440,TA,804,804,Gd,2,1978,1978,1978,147000
569,6,1988,Gd,2,480,Gd,1104,1104,TA,2,1966,1999,1966,227000
570,5,1393,TA,1,300,TA,816,872,TA,1,1955,1955,1955,135500
571,5,1048,TA,1,280,TA,993,1048,TA,1,1922,1950,1922,113000
572,5,1440,TA,1,480,Gd,1248,1440,TA,2,1959,1998,1959,185000
573,6,1635,TA,1,255,Gd,485,1001,TA,1,1910,2003,1950,117000
574,7,2090,TA,2,484,TA,1107,1107,Gd,2,1973,1973,1973,200000
575,6,1367,TA,1,560,TA,884,959,TA,1,1931,1950,1978,127500
576,7,1959,TA,3,766,TA,1907,1959,TA,3,1988,1989,1989,171000
577,6,1488,TA,2,552,TA,1488,1488,Gd,2,1968,1968,1968,215000
578,5,1143,Gd,1,288,TA,1008,1143,TA,1,1928,1983,1992,138000
579,5,1721,TA,2,440,TA,1461,1721,TA,2,1968,1993,1968,180000
580,6,1668,TA,1,271,TA,856,1112,TA,1,1950,2005,1950,140000
581,4,841,Fa,1,294,TA,721,841,TA,1,1950,1950,1950,82000
582,6,768,Gd,2,440,TA,768,768,TA,1,1930,1950,1930,93850
583,7,1682,TA,2,530,TA,1304,1682,TA,2,1970,1970,1970,174000
584,5,1196,TA,1,336,TA,1196,1196,Gd,1,1968,1968,1968,144000
585,6,952,TA,1,288,TA,952,952,TA,1,1968,1968,1968,128500
586,7,1865,Gd,3,839,Gd,992,992,Gd,2,2000,2000,2000,235000
587,8,2727,Gd,2,440,Gd,853,1549,Gd,2,1932,1994,1932,315000
588,7,1506,Gd,2,440,Gd,1362,1506,Gd,2,2005,2005,2005,213490
589,5,1060,TA,1,308,TA,756,916,TA,1,1925,1994,1969,136500
590,6,1409,TA,2,528,TA,861,861,TA,1,1938,1950,1968,126000
591,7,1812,Gd,2,478,Gd,835,871,Gd,2,2004,2004,2004,193000
592,5,1057,TA,1,288,Gd,1057,1057,TA,1,1955,1999,1955,137000
593,7,918,TA,1,360,TA,852,918,TA,1,1975,1975,1975,148000
594,7,1928,Gd,2,434,Gd,847,847,Gd,2,2003,2004,2003,219500
595,5,1230,TA,2,440,TA,440,682,TA,1,1910,1981,1966,110000
596,6,1604,TA,2,470,TA,926,926,Gd,2,1997,1998,1997,181000
597,6,1182,TA,1,378,TA,770,885,Fa,1,1945,1950,1945,120000
598,5,1740,Fa,1,225,Ex,936,960,TA,1,1920,1950,1920,122250
599,6,1072,TA,2,525,TA,547,1072,Gd,2,2005,2006,2005,140000
600,7,1596,Gd,2,610,Gd,784,784,Gd,2,2005,2005,2005,181000
601,5,1250,TA,1,280,Fa,686,686,TA,1,1918,1950,1955,116000
602,5,1211,TA,1,322,TA,952,1211,TA,1,1968,1968,1968,134000
603,8,1911,Gd,2,471,Gd,777,1065,Gd,2,1993,1994,1993,215000
604,5,1621,TA,2,478,TA,1621,1621,Gd,2,1975,1975,1975,213000
605,6,1683,TA,2,440,TA,918,918,TA,2,1978,1978,1978,172500
606,5,2071,TA,1,336,TA,825,2071,TA,1,1956,1956,1956,165000
607,6,1262,TA,2,460,TA,1262,1262,Gd,2,1976,1976,1976,181500
608,7,2094,Gd,2,615,Gd,912,912,Gd,2,2003,2004,2003,263000
609,7,1417,Gd,2,511,Gd,1417,1417,Gd,2,1997,1998,1997,210000
610,7,1614,Gd,3,865,Gd,1614,1614,Gd,2,2005,2006,2005,221500
611,5,1641,TA,2,490,TA,1001,1001,Gd,2,1972,1972,1972,140000
612,5,1551,TA,1,240,Fa,1058,1058,Fa,2,1938,1950,1938,137000
613,6,1252,Gd,2,528,Gd,1252,1252,TA,1,1959,1959,1960,142000
614,4,1350,TA,2,504,TA,967,1350,TA,1,1954,1954,1954,146000
615,5,928,TA,1,288,TA,928,928,TA,1,1957,1957,1957,112500
616,6,1369,TA,1,300,TA,672,697,TA,2,1925,1950,1930,103600
617,5,1568,TA,2,440,TA,1568,1568,TA,1,1967,1967,1967,143000
618,5,1343,TA,1,186,TA,731,820,TA,1,1921,1950,1921,154900
619,7,1768,Gd,2,603,Gd,866,866,Gd,2,2005,2005,2005,226700
620,8,1324,Gd,2,550,Gd,1324,1324,Gd,2,2006,2006,2006,221370
621,4,1680,TA,2,628,Gd,1680,1680,Gd,2,1995,1996,1996,170000
622,6,2380,TA,2,596,TA,1021,1465,Gd,2,1965,1979,1965,129000
623,5,1248,TA,1,286,TA,1248,1248,TA,1,1960,1960,1960,151500
624,6,1445,TA,2,645,TA,1127,1445,TA,1,1964,1964,1964,158000
625,7,1528,Gd,2,480,Gd,1528,1528,Gd,3,2007,2007,2007,235876
626,5,1216,TA,1,355,TA,565,565,TA,1,1920,1997,1920,115000
627,5,935,TA,1,308,TA,742,779,TA,1,1930,1960,1988,79500
628,5,825,TA,1,350,TA,825,825,TA,1,1954,1954,1954,109500
629,7,2110,Gd,2,522,Ex,2110,2110,TA,2,1968,1968,1968,244000
630,5,816,TA,1,264,TA,816,816,Gd,1,1983,1983,1983,139000
631,6,1074,TA,1,467,Gd,663,1074,TA,1,1950,1987,1987,144500
632,5,1576,TA,1,225,TA,1042,1042,TA,1,1928,1950,1928,149000
633,7,1604,Gd,2,660,Gd,1604,1604,Gd,2,2006,2006,2006,220000
634,5,1360,TA,2,572,TA,384,1360,TA,1,1955,1955,1962,130000
635,5,1040,TA,2,499,TA,1040,1040,Gd,1,1975,1975,1975,124000
636,5,1134,TA,1,240,TA,756,756,TA,1,1940,1950,1940,126000
637,6,2559,Gd,2,506,Ex,868,1313,Gd,2,1989,1989,1989,209000
638,5,1601,TA,1,300,TA,533,1021,TA,1,1958,1987,1958,140000
639,6,1032,TA,2,564,TA,1032,1032,Gd,2,1978,1978,1978,148000
640,5,1170,TA,1,338,TA,1170,1170,TA,1,1958,1958,1958,140000
641,5,1392,TA,2,528,TA,1392,1392,Gd,1,1957,1996,1957,121500
642,7,1433,Gd,2,528,Gd,1433,1433,Gd,1,1987,1987,1987,270000
643,6,926,TA,1,351,TA,902,926,TA,1,1977,1977,1977,156450
644,6,1054,TA,2,460,TA,1054,1054,Gd,1,1969,1969,1969,151000
645,6,1680,TA,1,308,TA,840,840,Gd,2,1915,1976,1960,177000
646,8,1861,Gd,3,851,Gd,1341,1341,Gd,3,2007,2007,2007,257000
647,7,1200,Gd,2,480,Gd,600,520,Gd,2,2005,2005,2005,144152
648,6,1284,TA,2,480,TA,1284,1284,Gd,2,1984,1984,1984,174000
649,6,1204,TA,2,412,TA,1204,1204,Ex,2,1998,1998,1998,162000
650,5,1560,TA,3,792,TA,1560,1560,TA,2,1968,1968,1968,126000
651,5,1268,TA,1,250,TA,832,832,TA,1,1938,1950,1938,160000
652,5,984,TA,1,384,TA,984,984,TA,1,1963,1963,1963,128000
653,6,1320,TA,2,484,TA,630,630,Gd,2,1993,1994,1993,137000
654,7,1218,Gd,2,462,Gd,1218,1218,Gd,2,2007,2008,2008,230348
655,5,1938,TA,1,240,Gd,942,1265,TA,2,1937,1995,1937,198000
656,7,1557,Gd,2,420,Gd,1374,1557,Gd,2,2003,2004,2003,234000
657,7,1504,Gd,2,457,Gd,1346,1504,Gd,2,2005,2006,2005,181000
658,8,1671,Ex,2,550,Ex,1426,1671,Gd,3,1976,2007,1976,290000
659,5,1200,TA,1,246,TA,1200,1200,TA,1,1950,1950,1950,129900
660,8,1312,Gd,2,471,Gd,1267,1312,Ex,2,2001,2001,2001,180500
661,8,2475,Gd,3,962,Gd,1629,1645,Ex,2,1998,1998,1998,355000
662,4,1482,TA,2,609,TA,954,1482,TA,2,1954,1968,1956,125000
663,6,2555,TA,2,672,TA,588,1423,Ex,2,1922,1994,1993,191000
664,9,2728,Ex,3,706,Ex,1848,1848,Ex,2,2005,2006,2006,437154
665,9,1743,Ex,3,927,Ex,1739,1743,Ex,2,2008,2008,2008,335000
666,6,2515,Gd,2,484,TA,2035,2515,TA,3,1957,1975,1975,200624
667,7,1555,Gd,3,660,Gd,1373,1555,Gd,2,2007,2007,2007,174000
668,7,1358,Gd,2,484,Gd,1350,1358,Gd,2,2007,2008,2008,212500
669,8,1768,Gd,2,578,Gd,866,866,Gd,2,2007,2007,2007,212000
670,8,1666,TA,1,228,Gd,588,833,TA,1,1925,1996,1925,161000
671,4,1092,TA,1,286,TA,546,546,TA,1,1973,1973,1973,83500
672,5,864,TA,2,720,Gd,864,864,TA,1,1950,2002,1980,129000
673,5,894,TA,1,308,TA,894,894,Gd,1,1977,1977,1979,120750
674,8,1987,Gd,2,691,Gd,1986,1987,Gd,2,1994,1994,1994,301500
675,7,1576,Gd,2,614,Gd,770,778,Gd,2,2006,2006,2006,197000
676,6,1224,Gd,2,528,Gd,612,612,Gd,2,2009,2009,2009,173733
677,6,1251,TA,1,240,Fa,827,827,Gd,1,1938,2000,1938,119000
678,7,2730,Gd,2,576,Gd,1502,1553,TA,2,1986,1987,1987,301000
679,6,1608,TA,1,216,Gd,976,1160,TA,2,1925,1990,1925,137450
680,6,1278,TA,1,240,TA,854,854,TA,1,1954,1954,1954,127500
681,6,1796,TA,2,483,TA,780,983,TA,1,1963,1963,1963,140000
682,8,1226,Gd,2,484,Gd,1226,1226,Gd,1,1978,1978,1978,170000
683,7,1636,TA,1,288,Gd,818,818,TA,1,1919,1950,1919,167000
